1,2014 Guillot Partners Special Reserve Gamay Noir,"This white wine is superb and delights the nose with light jammy grape and black pepper. The palette has a pronounced flavor of off-dry red apple, biscuit, black olive. Overall it is harmonious and ends with a lovely long finish.",1279,Louis Martini,2,sparkling,2023-10-18 11:57:43.892920,2023-10-18 11:57:45.938390
2,2001 Rey Partners Pinot Blanc,"This sparkling wine is one you'll enjoy that overwhelms the nose with medium ripe pineapple and mint. The palette tastes very much like dry grape, vanilla, green olive. Overall it is heavy and satisfies.",2551,Grgich Hills,2,sparkling,2023-10-18 11:57:46.089704,2023-10-18 11:57:48.000747
3,2010 Ménard Cellars Estate Sangiovese,"This white wine  overwhelms the nose with medium under-ripe apricot and nutmeg. The palette has a delightful touch of dry passion fruit, butter, green bell pepper. Overall it is tingly and lacking nothing.",9964,Graham's,2,sparkling,2023-10-18 11:57:48.037569,2023-10-18 11:57:49.949472
4,2002 Benoit Family Wines Pinot Blanc,"This rosé wine is superb and has odors of medium jammy apricot and mint. The palette has a delightful touch of dry apricot, yeast, green olive. Overall it is tingly and leaves you satisfied.",5748,Peter Lehmann,2,rosé,2023-10-18 11:57:49.981278,2023-10-18 11:57:52.051350
5,2002 Pons Family Estates Moscato,"This white wine is delightful and overwhelms the nose with medium juicy gooseberry and cinnamon. The palette has soft, delicate tannins with dry gooseberry, cream, asparagus. Overall it is tingly and welcomes any meal.",2869,Cloudy Bay,2,red,2023-10-18 11:57:52.079329,2023-10-18 11:57:54.047354
6,2016 Aubry Estates Bukettraube,"This white wine is one you'll enjoy that has odors of pronounced cooked banana and vanilla. The palette has a pronounced flavor of dry mango, yeast, green bell pepper. Overall it is fruit-driven and lingers on for what seems like forever.",6116,Petrus,2,sparkling,2023-10-18 11:57:54.073967,2023-10-18 11:57:55.807817
7,1991 Adam Family Wines Estate Ugni Blanc,"This dessert wine is well-made and has odors of medium over-ripe lemon and cinnamon. The palette has a lingering flavor of dry lychee, biscuit, grass. Overall it is delicate and lingers on for what seems like forever.",363,Chateau Lafitte,2,dessert,2023-10-18 11:57:55.833939,2023-10-18 11:57:57.699406
8,1997 Poirier Family Estates Petit Verdot,"This white wine is enjoyable and starts off with pronounced cooked melon and lavender. The palette has a pronounced flavor of medium-sweet red apple, yeast, forest floor. Overall it is soft and pleases any crowd.",1774,Grgich Hills,2,red,2023-10-18 11:57:57.726875,2023-10-18 11:57:59.566192
9,2014 Henry Family Ugni Blanc,"This white wine is enjoyable and has hints of light stewed green apple and eucalyptus. The palette has a lingering flavor of dry peach, vanilla, fresh earth. Overall it is heavy and leaves you satisfied.",2355,Chateau Margaux,2,red,2023-10-18 11:57:59.594091,2023-10-18 11:58:01.459094
10,2014 Dumas Partners Riesling,"This red wine is one you'll enjoy that has odors of pronounced over-ripe prune and liquorice. The palette fills your mouth with dry red currant, coffee, green bell pepper. Overall it is austere and lingers on for what seems like forever.",4972,Marchesi Antinori,2,dessert,2023-10-18 11:58:01.484802,2023-10-18 11:58:03.514686
11,2008 Royer Family Estates Chenin Blanc,"This white wine is superb and pleases the nose with pronounced jammy lemon and cinnamon. The palette dazzles the cheeks with sweet melon, butter, green bell pepper. Overall it is refreshing and welcomes any meal.",9970,Moet Chandon,2,rosé,2023-10-18 11:58:03.541447,2023-10-18 11:58:05.451879
12,1992 Gauthier Family Vineyards Reserve Pinot Gris,"This rosé wine is superb and overwhelms the nose with light over-ripe lemon and eucalyptus. The palette dazzles with dry lime, cream, green olive. Overall it is well-integrated and leaves you satisfied.",9884,Robert Mondavi,2,white,2023-10-18 11:58:05.478043,2023-10-18 11:58:07.770983
13,2006 Rolland Family Estates Reserve Crouchen Blanc,"This red wine is one you'll enjoy that welcomes the nose with light ripe blueberry and nutmeg. The palette delights with sweet bramble, chocolate, green bell pepper. Overall it is elegant and satisfies.",4011,Matua,2,sparkling,2023-10-18 11:58:07.798717,2023-10-18 11:58:10.054241
14,2013 Bourgeois Family Estates Roussanne,"This white wine is incredible and tickles the nose with light juicy pineapple and white pepper. The palette tastes very much like sweet nectarine, biscuit, cabbage. Overall it is neutral and lacking nothing.",7410,Tablas Creek,2,dessert,2023-10-18 11:58:10.076194,2023-10-18 11:58:12.193317
15,2014 Pierre Cellars Cabernet Sauvignon,"This sparkling wine is a pleasure to drink that has hints of pronounced cooked nectarine and fennel. The palette dazzles with dry sultana, butter, asparagus. Overall it is tingly and ends with a lovely long finish.",4234,Peter Lehmann,2,red,2023-10-18 11:58:12.220574,2023-10-18 11:58:14.235782
16,2000 Boyer Cellars Ugni Blanc,"This white wine is superb and overwhelms the nose with light cooked nectarine and dill. The palette tastes very much like off-dry pear, biscuit, green olive. Overall it is austere and lingers on for what seems like forever.",5054,Grgich Hills,2,white,2023-10-18 11:58:14.262078,2023-10-18 11:58:16.283072
17,2017 Guillot Partners Verdelho,"This red wine is delightful and overwhelms the nose with pronounced stewed fig and dill. The palette tastes very much like dry raspberry, resinous, fresh earth. Overall it is neutral and welcomes the senses.",1502,Penfolds,2,rosé,2023-10-18 11:58:16.307337,2023-10-18 11:58:18.802173
18,2017 Garcia Family Vineyards Pinot Blanc,"This dessert wine is pleasant and has just a whiff of medium stewed pineapple and nutmeg. The palette has a delightful touch of luscious nectarine, coconut, black olive. Overall it is tingly and welcomes any meal.",3183,Graham's,2,dessert,2023-10-18 11:58:18.827196,2023-10-18 11:58:21.130553
19,1999 Girard Brands Grenache Blanc,"This dessert wine is one you'll enjoy that starts off with medium stewed red apple and liquorice. The palette continues on with luscious grapefruit, yeast, fresh earth. Overall it is heavy and makes you yearn for the next sip.",3670,Schramsberg,2,sparkling,2023-10-18 11:58:21.151048,2023-10-18 11:58:23.305480
20,2015 Ménard Family Vineyards Malvasia Bianca,"This rosé wine  overwhelms the nose with light ripe lemon and vanilla. The palette tastes very much like sweet sultana, coconut, mushroom. Overall it is tingly and makes you yearn for the next sip.",4496,Rodney Strong,2,rosé,2023-10-18 11:58:23.333208,2023-10-18 11:58:25.441108
21,2006 Julien Partners Gewurztraminer,"This dessert wine is superb and has hints of light under-ripe lime and eucalyptus. The palette has soft, delicate tannins with medium-dry peach, cream, green olive. Overall it is well-integrated and makes you yearn for the next sip.",9785,Dow's,2,dessert,2023-10-18 11:58:25.464853,2023-10-18 11:58:27.568332
22,2009 Hubert Family Wines Pinotage,"This red wine is one you'll enjoy that has hints of light ripe red cherry and black pepper. The palette continues on with dry red cherry, smoke, forest floor. Overall it is good structure and pleases any crowd.",5244,Leeuwin Estate,2,dessert,2023-10-18 11:58:27.591496,2023-10-18 11:58:29.707113
23,1998 Garcia Estates Family Select Grenache Blanc,"This red wine is incredible and delights the nose with light stewed blackberry and liquorice. The palette continues on with dry bramble, cedar, black olive. Overall it is soft and satisfies.",6117,Duckhorn,2,white,2023-10-18 11:58:29.729216,2023-10-18 11:58:31.851505
24,2017 Benoit Estates Verdelho,"This sparkling wine is one you'll enjoy that pleases the nose with pronounced jammy nectarine and ginger. The palette has a delightful touch of sweet gooseberry, coconut, mushroom. Overall it is well-integrated and makes you yearn for the next sip.",1496,Siduri,2,white,2023-10-18 11:58:31.871624,2023-10-18 11:58:33.844901
25,2020 Martin Estates Verdelho,"This dessert wine is enjoyable and tickles the nose with pronounced cooked pear and nutmeg. The palette has soft, delicate tannins with medium-dry grape, vanilla, forest floor. Overall it is austere and pleases any crowd.",3747,Gerard Bertrand,2,rosé,2023-10-18 11:58:33.869708,2023-10-18 11:58:35.681290
26,2022 Guillot Group Nebbiolo,"This red wine is well-made and has just a whiff of light jammy black cherry and liquorice. The palette has acid that tingles with a flavor of dry blueberry, resinous, mushroom. Overall it is tingly and lingers on for what seems like forever.",188,Chateau Haut Brion,2,sparkling,2023-10-18 11:58:35.702429,2023-10-18 11:58:37.656610
27,1997 Roche Cellars Blaufrankisch,"This dessert wine is pleasant and tickles the nose with pronounced cooked apricot and white pepper. The palette does not disappoint with off-dry grape, biscuit, mushroom. Overall it is well-integrated and makes you yearn for the next sip.",3191,Dow's,2,white,2023-10-18 11:58:37.677348,2023-10-18 11:58:39.619813
28,2002 Morel Family Riesling,"This red wine is incredible and pleases the nose with pronounced juicy black currant and nutmeg. The palette dazzles with dry black currant, chocolate, green bell pepper. Overall it is soft and makes you yearn for the next sip.",8513,Domaine Drouhin,2,rosé,2023-10-18 11:58:39.640751,2023-10-18 11:58:41.527128
29,1992 Da silva Family Wines Pinot Blanc,"This red wine is superb and has hints of pronounced ripe strawberry and nutmeg. The palette does not disappoint with luscious kirsch, cedar, forest floor. Overall it is good structure and leaves you satisfied.",4174,Brancaia,2,rosé,2023-10-18 11:58:41.545796,2023-10-18 11:58:43.428007
30,2003 Rousseau Family Vineyards Pinotage,"This red wine is pleasant and delights the nose with pronounced ripe black currant and dill. The palette dazzles the cheeks with dry prune, resinous, fresh earth. Overall it is harmonious and welcomes any meal.",672,Lindemans,2,white,2023-10-18 11:58:43.450275,2023-10-18 11:58:45.556515
31,1998 Fournier Family Estates Meunier,"This red wine is incredible and has hints of pronounced stewed plum and liquorice. The palette has a delightful touch of dry red currant, coffee, black olive. Overall it is heavy and makes you yearn for the next sip.",1276,Jacob's Creek,2,red,2023-10-18 11:58:45.589489,2023-10-18 11:58:48.231956
32,1990 Rousseau Family Wines Meunier,"This dessert wine is superb and has just a whiff of pronounced cooked gooseberry and black pepper. The palette fills your mouth with dry lime, butter, cabbage. Overall it is tingly and pleases any crowd.",8948,Beringer,2,dessert,2023-10-18 11:58:48.256946,2023-10-18 11:58:50.335514
33,2013 Garcia Family Estates Cabernet Sauvignon,"This rosé wine is enjoyable and welcomes the nose with medium cooked grape and dill. The palette fills your mouth with dry mango, yeast, cabbage. Overall it is mouth-filling and welcomes the senses.",4332,Louis Jadot,2,dessert,2023-10-18 11:58:50.357480,2023-10-18 11:58:52.280019
